iso3c,country_name,city_name,city_code,income_id,region_id,food_pct,plastic_pct,paper_pct,glass_pct,metal_pct,other_pct,recycling_pct,open_dump_pct,income_label
LAO,Lao PDR,Vientiane,viet,LMIC,E. Asia & Pacific,0.169,0.061,0.028,0.011,0.093,0.12,NA,NA,Lower-Middle Income
LVA,Latvia,Liepaja,lpja,HIC,Eur. & Cent. Asia,NA,NA,NA,NA,NA,NA,NA,NA,High Income
LVA,Latvia,Riga,riga,LMIC,Eur. & Cent. Asia,NA,NA,NA,NA,NA,NA,NA,NA,Lower-Middle Income
LBN,Lebanon,Beirut,beir,LMIC,Mid. East & N. Africa,0.525,0.115,0.16,0.035,0.055,0.11,NA,NA,Lower-Middle Income
LBN,Lebanon,Saida,said,LMIC,Mid. East & N. Africa,NA,NA,NA,NA,NA,NA,NA,NA,Lower-Middle Income
LBR,Liberia,Monrovia,monr,LIC,Sub-Saharan Africa,0.45,0.11,0.07,0.01,0.01,0.29,NA,0.353163421321978,Low Income
LBY,Libya,Tripoli,trip,UMIC,Mid. East & N. Africa,0.363,0.186,0.153,0.035,0.067,0.08,0.021,0.623,Upper-Middle Income
LTU,Lithuania,Kaunas,kaun,HIC,Eur. & Cent. Asia,0.3113,0.2135,0.071,0.0422,0.0135,0.2397,NA,NA,High Income
LTU,Lithuania,Vilnius,vini,HIC,Eur. & Cent. Asia,0.3359,0.1183,0.0737,0.0625,0.0174,0.269,NA,NA,High Income
MDG,Madagascar,Antananarivo,anta,LIC,Sub-Saharan Africa,0.56,NA,0.05,0.01,0.02,0.25,NA,0.42,Low Income
MWI,Malawi,Blantyre,bltr,LIC,Sub-Saharan Africa,0.7,0.06,0.09,0.02,0.01,0.075,0.0289830508474576,0.239406779661017,Low Income
MWI,Malawi,Lilongwe,lngw,LIC,Sub-Saharan Africa,NA,NA,NA,NA,NA,NA,NA,0.221,Low Income
MYS,Malaysia,Kuala Lumpur,kual,UMIC,E. Asia & Pacific,0.41,0.22,0.19,0.04,0.01,0.06,NA,NA,Upper-Middle Income
MDV,Maldives,Male,male,UMIC,S. Asia,0.2443,0.003,0.0314,2e-4,0.0018,0.668,NA,NA,Upper-Middle Income
MLI,Mali,Bamako,bama,LIC,Sub-Saharan Africa,0.36,0.1,0.04,NA,NA,0.43,NA,0.324,Low Income
MHL,Marshall Islands,Majuro,maju,UMIC,E. Asia & Pacific,0.3399,0.1582,0.2054,0.0321,0.0958,0.0226,0.088,0.804,Upper-Middle Income
MRT,Mauritania,Nouakchott,nkct,LMIC,Sub-Saharan Africa,NA,NA,NA,NA,NA,NA,NA,NA,Lower-Middle Income
MEX,Mexico,Guadalajara,guad,UMIC,L. Amer. & the Caribbean,0.47569999999999996,0.0796,0.0445,0.059,0.0195,0.17020000000000002,NA,NA,Upper-Middle Income
MEX,Mexico,Mexico City,meci,UMIC,L. Amer. & the Caribbean,0.468,0.132,0.107,0.025,0.023,0.12,0.211444271891052,NA,Upper-Middle Income
MEX,Mexico,Monterrey,mont,UMIC,L. Amer. & the Caribbean,NA,NA,NA,NA,NA,NA,NA,NA,Upper-Middle Income
FSM,"Micronesia, Fed. Sts.",Pohnpei,pohn,LMIC,E. Asia & Pacific,0.294,0.158,0.102,0.019,0.081,0.133,0.007,NA,Lower-Middle Income
MDA,Moldova,Chisinau,chsn,LMIC,Eur. & Cent. Asia,0.5247,0.1142,0.1013,0.056,0.0223,0.1389,0.023,NA,Lower-Middle Income
