iso3c,country_name,income_id,region_id,food_pct,plastic_pct,paper_pct,glass_pct,metal_pct,other_pct,open_dump_pct,recycling_pct,income_label
SDN,Sudan,LMIC,Sub-Saharan Africa,0.4,0.04,0.27,0.05,0.03,0.15,NA,NA,Lower-Middle Income
SUR,Suriname,UMIC,L. Amer. & the Caribbean,0.57,0.11,NA,0.06,0.03,0.23,0.95,0.05,Upper-Middle Income
SWE,Sweden,HIC,Eur. & Cent. Asia,0.37889688249400494,0.07673860911270979,0.141486810551559,0.0599520383693046,0.0407673860911271,0.254196642685851,NA,0.241,High Income
CHE,Switzerland,HIC,Eur. & Cent. Asia,0.403352160978299,0.0702078388265199,0.269047657907485,0.0731123293451974,0.0185174310654628,0.0756227567892171,NA,0.285209490156487,High Income
SYR,Syrian Arab Republic,LIC,Mid. East & N. Africa,0.57,0.07,0.07,0.03,0.04,0.22,0.557525,0.0174,Low Income
TWN,"Taiwan, China",HIC,E. Asia & Pacific,0.1741,0.2586,0.3974,0.0057,0.0054,0.0176,NA,0.541793575100503,High Income
TJK,Tajikistan,LIC,Eur. & Cent. Asia,NA,NA,NA,NA,NA,NA,1,NA,Low Income
TZA,Tanzania,LMIC,Sub-Saharan Africa,0.37,0.07,0.11,0.04,0.01,0.08,0.144,0.075,Lower-Middle Income
THA,Thailand,UMIC,E. Asia & Pacific,0.64,0.1762,0.08,0.03,0.02,0.02,NA,0.345454545454545,Upper-Middle Income
TLS,Timor-Leste,LMIC,E. Asia & Pacific,0.5857,0.0973,0.1301,0.0376,0.053900000000000003,0.0218999999999999,NA,NA,Lower-Middle Income
TGO,Togo,LIC,Sub-Saharan Africa,0.38,0.1,0.04,0.02,0.04,0.39,NA,NA,Low Income
TON,Tonga,UMIC,E. Asia & Pacific,0.3998,0.105,0.204,0.0329,0.0544,0.0921,NA,0.091,Upper-Middle Income
TTO,Trinidad and Tobago,HIC,L. Amer. & the Caribbean,0.206,0.1284,0.1796,0.0205,0.0225,0.2047,NA,NA,High Income
TUN,Tunisia,LMIC,Mid. East & N. Africa,0.632,0.094,0.086,0.011,0.016,0.074,0.21,0.04,Lower-Middle Income
TUR,Türkiye,UMIC,Eur. & Cent. Asia,0.5554,0.0586,0.0811,0.0338,0.0137,0.2531,NA,0.119899488878102,Upper-Middle Income
TKM,Turkmenistan,UMIC,Eur. & Cent. Asia,0.1618,0.0219,NA,0.0464,0.1144,0.6045,0.99,0.01,Upper-Middle Income
TCA,Turks and Caicos Islands,NA,L. Amer. & the Caribbean,0.2177,0.1625,0.315,0.2054,0.076,0.0186,NA,NA,NA
TUV,Tuvalu,UMIC,E. Asia & Pacific,0.42,0.146,0.102,0.072,0.12,0.088,0.354316327773043,0.0627054669426519,Upper-Middle Income
UGA,Uganda,LIC,Sub-Saharan Africa,0.73,0.016,0.053,0.009,0.031,0.064,NA,NA,Low Income
UKR,Ukraine,UMIC,Eur. & Cent. Asia,0.44,0.11,0.13,0.09,0.02,0.15,NA,0.0496149553052406,Upper-Middle Income
ARE,United Arab Emirates,HIC,Mid. East & N. Africa,0.276200008392333,0.249599990844727,0.261200008392333,0.0340000009536743,0.0267000007629394,0.114700002670288,NA,0.0895625812039844,High Income
GBR,United Kingdom,HIC,Eur. & Cent. Asia,0.203,0.092,0.175,0.069,0.038,0.143,NA,0.2618,High Income
USA,United States,HIC,N. Amer.,0.216,0.122,0.231,0.042,0.088,0.015,NA,0.241,High Income
URY,Uruguay,HIC,L. Amer. & the Caribbean,0.402,0.173,0.138,0.034,0.036,0.065,0.0498748583660581,NA,High Income
UZB,Uzbekistan,LMIC,Eur. & Cent. Asia,0.28,0.08,0.03,0.05,0.02,0.3571,NA,0.052,Lower-Middle Income
VUT,Vanuatu,LMIC,E. Asia & Pacific,0.3721,0.1033,0.0427,0.0327,0.1154,0.0508000000000002,0.40210890685903783,0.015012065856070737,Lower-Middle Income
VEN,"Venezuela, RB",UMIC,L. Amer. & the Caribbean,0.5,0.1,0.2,0.05,0.05,0.1,NA,NA,Upper-Middle Income
VNM,Viet Nam,LMIC,E. Asia & Pacific,0.55,0.1,0.05,0.03,0.06,0.17,NA,0.075,Lower-Middle Income
VIR,Virgin Islands (US),HIC,L. Amer. & the Caribbean,0.089,0.136,0.185,0.091,0.054,0.254,NA,NA,High Income
PSE,West Bank and Gaza,LMIC,Mid. East & N. Africa,0.5,0.146,0.125,0.019,0.024,0.186,0.2944,0.0276,Lower-Middle Income
YEM,"Yemen, Rep.",LMIC,Mid. East & N. Africa,0.65,0.1,0.07,0.01,0.06,0.1022,NA,NA,Lower-Middle Income
ZMB,Zambia,LMIC,Sub-Saharan Africa,0.51,0.14,0.06,0.04,0.09,0.12,NA,0.06,Lower-Middle Income
ZWE,Zimbabwe,LMIC,Sub-Saharan Africa,0.44688,0.15361,0.16165,0.04225,0.0455,0.112559,NA,NA,Lower-Middle Income
